,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,title,MFCCs,views,rating
30,30.0,30.0,30.0,Brought Down,"[[-597.73441179 -597.73441179 -597.73441179 ... -597.73441179
  -597.73441179 -597.73441179]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",16907,5.0
31,31.0,31.0,31.0,Chatting Today,"[[-534.27052352 -534.27052352 -534.27052352 ... -534.27052352
  -534.27052352 -534.27052352]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",11403,4.9130435
32,32.0,32.0,32.0,Remembering Part 1,"[[-533.94590421 -533.94590421 -533.94590421 ... -145.8685302
  -242.56177368 -533.94590421]
 [   0.            0.            0.         ...   11.72579875
    11.55890136    0.        ]
 [   0.            0.            0.         ...    8.76951727
     9.256046      0.        ]
 ...
 [   0.            0.            0.         ...   -3.05855456
    -3.16647938    0.        ]
 [   0.            0.            0.         ...    5.19820492
     5.08710798    0.        ]
 [   0.            0.            0.         ...   -0.63322085
    -0.64964335    0.        ]]",16020,4.952381099999998
33,33.0,33.0,33.0,Black Boys On The Corner,"[[-592.69936221 -592.69936221 -592.69936221 ... -592.69936221
  -592.69936221 -592.69936221]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",7513,4.9389315
34,34.0,34.0,34.0,Slow Blues,"[[-588.03092813 -588.03092813 -588.03092813 ... -429.68967205
  -374.4081444  -349.31248445]
 [   0.            0.            0.         ...  128.94832447
   131.49280942  125.4398939 ]
 [   0.            0.            0.         ...   35.76928065
    26.48756329   23.60641786]
 ...
 [   0.            0.            0.         ...    2.90575323
     0.86798427   -0.85301947]
 [   0.            0.            0.         ...   -5.70089143
    -0.81031127    0.82827772]
 [   0.            0.            0.         ...   -6.37348154
    -2.47398864   -2.44075705]]",71342,4.9346642
35,35.0,35.0,35.0,Ain't No Sunshine,"[[-473.5755053 -473.5755053 -473.5755053 ... -473.5755053 -473.5755053
  -473.5755053]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 ...
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]]",116711,4.9598455
36,36.0,36.0,36.0,I Love My Dub,"[[-510.00771681 -510.00771681 -510.00771681 ... -510.00771681
  -510.00771681 -510.00771681]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",1984,4.818182
37,37.0,37.0,37.0,Lonely Woman,"[[-5.85162058e+02 -5.85162058e+02 -5.85162058e+02 ... -5.81741751e+02
  -5.83496587e+02 -5.85063895e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  4.83046924e+00
   2.35382425e+00  1.38812329e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  4.81088656e+00
   2.34930816e+00  1.38780971e-01]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  4.26763081e+00
   2.20873528e+00  1.37778770e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  4.16327496e+00
   2.17898221e+00  1.37559860e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  4.05259495e+00
   2.14679597e+00  1.37320235e-01]]",29457,4.9627042
38,38.0,38.0,38.0,Live In The City,"[[-495.40516447 -495.40516447 -495.40516447 ... -495.40516447
  -495.40516447 -495.40516447]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",46568,4.9306359
39,39.0,39.0,39.0,Eating Mess,"[[-480.65655956 -480.65655956 -480.65655956 ... -480.65655956
  -480.65655956 -480.65655956]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",1574,5.0
40,40.0,40.0,40.0,Musical Episode,"[[-4.91259121e+02 -4.91259121e+02 -4.91259121e+02 ... -4.90729915e+02
  -4.91055236e+02 -4.91259121e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  7.47903972e-01
   2.88141929e-01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  7.46383254e-01
   2.87556048e-01  0.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  6.98262173e-01
   2.69016635e-01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  6.87875015e-01
   2.65014816e-01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  6.76555627e-01
   2.60653842e-01  0.00000000e+00]]",659,5.0
41,41.0,41.0,41.0,Love Him,"[[-514.31346643 -514.31346643 -514.31346643 ... -514.31346643
  -514.31346643 -514.31346643]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",5687,5.0
42,42.0,42.0,42.0,No Man Is An Island,"[[-486.88961958 -486.88961958 -486.88961958 ... -486.88961958
  -486.88961958 -486.88961958]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",2839,5.0
43,43.0,43.0,43.0,The Love Of A Woman,"[[-497.03867601 -497.03867601 -497.03867601 ... -497.03867601
  -497.03867601 -497.03867601]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",352994,4.9367194
44,44.0,44.0,44.0,Nice And Easy Dub,"[[-586.06548891 -586.06548891 -586.06548891 ... -586.06548891
  -586.06548891 -586.06548891]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",39852,4.934853599999999
45,45.0,45.0,45.0,Nice And Easy,"[[-586.06548891 -586.06548891 -586.06548891 ... -586.06548891
  -586.06548891 -586.06548891]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",39852,4.934853599999999
46,46.0,46.0,46.0,Serious Thing,"[[-479.42504712 -479.42504712 -473.29481403 ... -444.40874868
  -447.4192368  -465.01491185]
 [   0.            0.            8.64879908 ...   42.88013644
    41.5572405    20.04035857]
 [   0.            0.            8.58702715 ...   29.692594
    32.51028633   19.07691484]
 ...
 [   0.            0.            6.76758768 ...    6.90366611
     8.38402937    7.85047242]
 [   0.            0.            6.40819307 ...    4.91892978
     7.96880276    6.93721661]
 [   0.            0.            6.02952426 ...    2.83862018
     6.72737636    5.96228358]]",30151,4.9528856
47,47.0,47.0,47.0,Sky Larking,"[[-470.12960487 -470.12960487 -470.12960487 ... -470.12960487
  -470.12960487 -470.12960487]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",4180834,4.9405546
48,48.0,48.0,48.0,Do You Love My Music,"[[-512.76257179 -512.76257179 -512.76257179 ... -512.76257179
  -512.76257179 -512.76257179]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",230605,4.949541099999999
49,49.0,49.0,49.0,Fever,"[[-473.74595017 -473.74595017 -426.32648509 ... -172.0304577
  -195.23430625 -249.50204678]
 [   0.            0.           55.96713626 ...  113.11073542
   115.27588067  102.53448116]
 [   0.            0.           34.40860928 ...   16.67964442
    37.95136214   40.31995533]
 ...
 [   0.            0.           10.48759106 ...   -3.76030732
    -4.63489687   -4.04193109]
 [   0.            0.            9.50394692 ...   -3.45056905
    -6.6737255    -7.63887784]
 [   0.            0.            7.88726434 ...  -14.34807241
   -14.77977865  -10.54107155]]",35188,4.9513888
50,50.0,50.0,50.0,Collie Dub,"[[-528.65400324 -528.65400324 -528.65400324 ... -528.65400324
  -528.65400324 -528.65400324]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",18500,4.8983049
